Date, Open, High, Low, Close, Volume
01/06/22, 30.50, 33.45, 30.50, 30.75, 1100
01/04/22, 30.50, 30.50, 30.50, 30.50, 900
12/31/21, 30.50, 30.50, 30.50, 30.50, 1100
12/28/21, 32.00, 32.00, 30.50, 31.95, 3500
12/22/21, 30.50, 30.50, 30.50, 30.50, 3800
12/20/21, 30.50, 30.50, 30.50, 30.50, 100
12/17/21, 31.50, 31.50, 31.50, 31.50, 100
12/09/21, 31.00, 31.50, 31.00, 31.10, 26800
12/08/21, 30.50, 30.60, 30.50, 30.50, 20000
12/07/21, 31.00, 31.00, 30.50, 30.50, 9700
12/03/21, 30.50, 33.00, 30.50, 30.60, 3000
12/01/21, 32.00, 32.00, 30.50, 30.50, 6900
11/30/21, 30.50, 30.50, 30.50, 30.50, 1700
11/25/21, 30.50, 30.50, 30.50, 30.50, 300
11/24/21, 30.50, 30.50, 30.50, 30.50, 1300
11/19/21, 30.50, 30.50, 30.50, 30.50, 2500
11/15/21, 30.50, 30.50, 30.50, 30.50, 500
11/12/21, 33.50, 33.50, 30.50, 31.60, 300
11/11/21, 32.50, 32.50, 30.50, 30.75, 3200
11/10/21, 32.00, 33.60, 31.50, 32.70, 39400
11/09/21, 33.60, 33.60, 33.60, 33.60, 1000
11/05/21, 32.00, 32.00, 32.00, 32.00, 400
11/03/21, 32.00, 32.00, 32.00, 32.00, 500
11/02/21, 31.95, 33.00, 30.50, 32.75, 28400
11/01/21, 32.00, 32.00, 32.00, 32.00, 200
10/29/21, 32.00, 32.00, 32.00, 32.00, 100
10/28/21, 30.50, 31.00, 30.50, 30.90, 10200
10/27/21, 30.50, 31.00, 30.50, 30.70, 19100
10/26/21, 30.50, 30.50, 30.50, 30.50, 8900
10/25/21, 30.90, 30.90, 30.50, 30.75, 1000
10/22/21, 30.50, 30.95, 30.50, 30.90, 900
10/21/21, 31.00, 31.00, 30.50, 30.60, 6000
10/18/21, 31.00, 31.00, 30.00, 30.80, 9100
10/15/21, 30.00, 30.00, 30.00, 30.00, 400
10/14/21, 30.00, 30.00, 30.00, 30.00, 4000
10/13/21, 30.00, 30.00, 30.00, 30.00, 3400
10/12/21, 30.00, 30.00, 30.00, 30.00, 1000
10/08/21, 30.90, 30.90, 29.55, 30.65, 4500
10/06/21, 32.00, 32.00, 32.00, 32.00, 100
10/05/21, 30.90, 32.00, 30.90, 31.85, 1900
10/04/21, 30.75, 30.90, 30.75, 30.90, 5100
10/01/21, 28.10, 28.10, 28.10, 28.10, 200
09/29/21, 27.15, 27.15, 27.15, 27.15, 100
09/28/21, 27.00, 27.00, 27.00, 27.00, 700
09/27/21, 26.85, 26.95, 26.85, 26.85, 1400
